MeSH ID	Class List
D008920	2
D008927	3|2
D048057	2|3
D048292	2|3
D048308	2|3
D048054	3
D048055	3
D048056	3
D020928	3
D008935	3|2
D008936	3|2
D016685	3|2
D008937	3|2
D008939	2
D008942	3|2
D008946	2
D018198	3|1|2
D018199	3|1|2
D018200	3|1|2
D015580	2
D008979	1
D008980	1
D015166	2
D016260	3|2
D009012	3|2
D009026	1
D009062	3|1|2
D018396	2
D018298	3|1|2
D016532	2
D009091	2
D009094	2
D055653	3|2
D027425	2
D009377	3|2
D018761	3|2
D018813	3
D018814	3|2
D009101	3
D009103	1
D020528	1
D020529	1
D016183	2
D009116	2
D019042	3|1|2
D009125	2
D009133	2
D020388	2
D009150	2
D051719	3
D051718	3
D016254	2
D050506	2
D008271	2
D045645	2
D045682	2
D045791	2
D045795	2
D045804	2
D015878	2
D009184	2
D017590	3|2
D009187	3|2
D009188	2
D009190	2
D051788	3|1|2
D018209	3|2
D054084	2
D009205	2
D009208	2
D009210	2
D047708	3|2
D018224	3
D009214	3|2
D009217	1
D009232	3|2
D009233	2
D009236	1
D051267	3
D055655	3|2
D054778	2|3
D009255	2
D009256	3|2
D053758	2
D009288	3|2
D009298	3|2
D009303	1
D054547	3|1|2
D054580	1
D054586	1
D055825	1
D054561	1|2|3
D037981	2
D009335	2
D058568	2
D009336	2|3
D038581	2
D020360	2
D009361	3|1|2
D009362	3|1|2
D009363	3|1|2
D009364	3|1|2
D009365	3|1|2
D009366	3|1|2
D009367	3|1|2
D009368	3|1|2
D018365	3|1|2
D009369	3|1|2
D009370	3|1|2
D009371	3|1|2
D018205	3|1|2
D018294	3|1|2
D018295	3|1|2
D018213	3|1|2
D018193	3|1|2
D009372	3|1|2
D018204	3|1|2
D018297	3|1|2
D018299	3|1|2
D009374	3|1|2
D018225	3|1|2
D018218	3|1|2
D009373	3|1|2
D009375	3|1|2
D018309	3|1|2
D009376	3|1|2
D018301	3|1|2
D009378	3|1|2
D009379	3|1|2
D009380	3|1|2
D018302	3|1|2
D054219	3|1|2
D017169	3|1|2
D009381	3|1|2
D016609	3|1|2
D018307	3|1|2
D009382	3|1
D009383	3|1|2
D009360	3|1|2
D009385	3|1|2
D014411	3|1|2
D009386	3|1|2
D055514	3
D018201	3|2
D009401	2
D015260	2
D009410	3|2
D009416	1
D018317	3|1|2
D020721	2
D009422	3
D009423	3|1|2
D046768	2
D009442	3|2
D019150	2
D009447	2|3
D020752	2
D018306	3|2
D019636	3|1
D017600	3|1|2
D017599	3|1|2
D018242	3|1|2
D018241	3|1|2
D018358	3|1|2
D016874	2
D009455	3|2
D018318	3|2
D017253	3
D009456	3|2
D016518	3|2
D025542	3|2
D025581	3
D018319	3|1|2
D016900	2
D009463	2
D051616	1|2|3
D009472	2
D019600	2
D018696	2
D020933	2
D017247	2
D018326	3
D018329	2
D018332	3|2
D009529	2
D054409	2
D052536	2
D009544	3|2
D049932	3|2
D015376	3|2
D009564	2
D009585	2
D009588	2
D009605	3|2
D009609	2
D015739	2
D053158	3|2
D009621	2
D009625	2
D009632	1
D009647	3|2
D009669	3|1|2
D056921	3|2
D057094	2
D057107	2|3
D057125	2|3
D057105	2|3
D053278	2
D056128	2
D030011	3|2
D015282	3|2
D009798	2
D015835	2
D015840	3|2
D018333	2
D051527	3|1
D009808	3|1|2
D009810	2
D019319	2
D009826	3|2
D020431	2
D043025	2
D009837	2
D009848	2
D009849	3|2
D050596	3|2
D016281	3|2
D015689	3|2
D016274	3
D016759	3|2
D015688	3|2
D050490	3
D051058	3
D050722	3|2
D050736	3
D051256	3|2
D015513	3
D016374	3
D018774	3
D018739	3
D016761	3|2
D017232	3|2
D020626	3|2
D027384	3|2
D020572	3|2
D020575	3
D015514	3
D009856	3
D009857	3|2
D009858	3|2
D009859	3|2
D016522	3|2
D050130	3|2
D050504	3|2
D053683	3|2
D053681	3
D053578	3|2
D009896	2
D020339	3|2
D019574	3|1|2
D009902	2
D018917	3|2
D055622	2
D009918	3|1|2
D016727	1
D050607	2
D009940	3|2
D009959	3|1|2
D009966	2
D010003	1
D015207	1
D020370	1
D055013	1
D018215	3|2
D015831	3|2
D018216	3
D010016	3|2
D010017	3|2
D010020	2
D054850	3|2
D010024	2|3|1
D015663	3|1|2
D058866	2
D012516	3|1|2
D018217	3|1|2
D010039	3|1|2
D017063	2
D010043	2
D016471	2
D010051	3|1|2
D018384	1
D010113	2
D020168	2
D018435	2
D047495	3|2
D051059	2|3
D017239	2
D010142	2
D010145	2
D056267	3|2
D010157	3|1|2
D053860	3|2
D010178	2
D019397	2
D010181	2
D010187	2
D010190	3|1|2
D058954	2
D019283	3|2
D050500	3|2
D010212	2
D020288	2
D018308	3|2
D050725	3|2
D030361	3|2
D053918	3|2
D010235	2
D010236	2
D010254	3|2
D010255	3|1|2
D020362	3|1|2
D009384	3|1|2
D020364	3|1|2
D010257	3|1|2
D020361	3|1|2
D015493	2
D044162	3|2
D010282	3|1|2
D010300	3|1|2
D010301	3|1|2
D010302	3|1|2
D020734	3|1|2
D010307	3|1|2
D010319	2
D017993	2
D051419	3
D020371	2
D010385	2
D010386	3|1|2
D056887	2
D017699	2
D010391	2
D010396	2
D010412	3|1|2
D010419	2
D015649	2|3
D017663	2
D010440	2
D010468	2
D054353	2
D010479	2
D010489	1
D010493	2
D047648	3|1|2
D054238	1
D057747	2
D058729	2
D010524	3|1|2
D010534	3|1|2
D054973	1
D020025	2
D044903	1
D010590	2
D010610	3|1|2
D010653	2
D010673	3|2
D010677	2
D010692	2
D015240	3|2
D010703	2
D010704	2
D010752	2
D016226	2
D019000	3
D017319	2
D003557	3|1|2
D010844	3|2
D020774	3
D010853	2
D010862	2
D018296	2
D010871	2
D010885	2
D010889	3
D010891	3|2
D010894	2
D010900	2
D010911	1
D010928	2
D049068	2
D036741	1
D010941	1
D058225	1
D016726	2
D058629	1
D010954	2
D053657	2
D010997	3|1|2
D008926	2
D011007	2
D011033	2
D011034	2
D010488	2
D017044	2
D006831	2
D011111	3|1|2
D017285	2
D019338	2
D011141	3|2
D032104	3
D058887	2
D011160	3|2
D017499	2
D057091	3|2
D019339	2
D049268	2
D055010	2
D037022	2
D017698	3|1|2
D011180	2
D031261	1
D018620	2
D011230	3|1
D015452	3|1|2
D054198	3|1|2
D054218	3|1|2
D011236	3|2
D011238	3|2
D011252	3|1|2
D011254	3|2
D018566	2
D011289	3|1|2
D017697	3|1|2
D011295	2
D011304	2|3
D011305	3
D053764	3|2
D053766	3|2
D053763	3|2
D019724	2
D011344	3|2
D011352	3|2
D011371	2|3
D011384	1
D018809	3
D011394	3
D011413	2
D011420	3
D016016	2
D045664	2
D045706	2
D011446	2
D011447	2
D017430	3|2
D011468	3
D011470	2
D019048	3|2
D011471	3|1|2
D053448	3
D050050	3|2
D011490	2
D011493	2
D051571	3|2
D054562	2
D017027	3
D011504	3|2
D016715	3|2
D050787	3
D051789	3|2
D011518	3
D048491	3
D048493	3
D016315	3
D051057	2|3
D019253	2|3
D051560	3
D051562	3|2
D050721	3
D050737	3
D050783	3
D051578	3
D016760	3
D051076	3
D051572	3
D016755	3
D019009	3|2
D051257	3
D051736	3|2
D019859	3
D017231	3
D020598	3
D016271	3|2
D051573	2|3
D019908	3
D020569	3|2
D051096	3
D020574	3|2
D051567	3
D051575	3
D016283	3
D016392	3
D011519	3
D011533	2
D020828	2
D011559	1
D011596	2
D011648	2
D018202	3|2
D011658	2
D047868	2
D011691	2
D011692	2
D011694	3
D011695	2
D011713	2
D011727	3|2
D011750	2
D011776	3|2
D019057	2|3
D017378	2
D053245	2
D012334	3|1|2
D034802	3|2
D034702	3|2
D031361	2
D051135	3
D051721	3
D016721	1
D018787	3|2
D016719	2
D016499	2
D011878	3|2
D011879	3
D018714	3|2
D020266	2
D017687	2
D020849	2
D011910	2
D011913	3|2
D020334	2
D011918	2
D020318	2
D011925	2
D053484	2
D053246	2
D058262	2
D058263	2
D058264	2
D020801	2
D036082	2
D036224	2
D051498	3|2
D051499	3|2
D017526	2
D011972	1
D042787	2
D020893	3|2
D020917	3|2
