MeSH ID	Class List
D009363	3|1|2
D009364	3|1|2
D009365	3|1|2
D009366	3|1|2
D009367	3|1|2
D009368	3|1|2
D018365	3|1|2
D009369	3|1|2
D009370	3|1|2
D009371	3|1|2
D018205	3|1|2
D018294	3|1|2
D018295	3|1|2
D018213	3|1|2
D018193	3|1|2
D009372	3|1|2
D018204	3|1|2
D018297	3|1|2
D018299	3|1|2
D009374	3|1|2
D018225	3|1|2
D018218	3|1|2
D009373	3|1|2
D009375	3|1|2
D018309	3|1|2
D009376	3|1|2
D018301	3|1|2
D009378	3|1|2
D009379	3|1|2
D009380	3|1|2
D018302	3|1|2
D054219	3|1|2
D017169	3|1|2
D009381	3|1|2
D016609	3|1|2
D018307	3|1|2
D009382	3|1
D009383	3|1|2
D009360	3|1|2
D009385	3|1|2
D014411	3|1|2
D009386	3|1|2
D055514	3
D018201	3|2
D009410	3|2
D009416	1
D018317	3|1|2
D009422	3
D009423	3|1|2
D009442	3|2
D009447	2|3
D018306	3|2
D019636	3|1
D017600	3|1|2
D017599	3|1|2
D018242	3|1|2
D018241	3|1|2
D018358	3|1|2
D009455	3|2
D018318	3|2
D017253	3
D009456	3|2
D016518	3|2
D025542	3|2
D025581	3
D018319	3|1|2
D051616	1|2|3
D018326	3
D018332	3|2
D009544	3|2
D049932	3|2
D015376	3|2
D009605	3|2
D053158	3|2
D009632	1
D009647	3|2
D009669	3|1|2
D056921	3|2
D057107	2|3
D057125	2|3
D057105	2|3
D030011	3|2
D015282	3|2
D015840	3|2
D051527	3|1
D009808	3|1|2
D009826	3|2
D009849	3|2
D050596	3|2
D016281	3|2
D015689	3|2
D016274	3
D016759	3|2
D015688	3|2
D050490	3
D051058	3
D050722	3|2
D050736	3
D051256	3|2
D015513	3
D016374	3
D018774	3
D018739	3
D016761	3|2
D017232	3|2
D020626	3|2
D027384	3|2
D020572	3|2
D020575	3
D015514	3
D009856	3
D009857	3|2
D009858	3|2
D009859	3|2
D016522	3|2
D050130	3|2
D050504	3|2
D053683	3|2
D053681	3
D053578	3|2
D020339	3|2
D019574	3|1|2
D018917	3|2
D009918	3|1|2
D016727	1
D009940	3|2
D009959	3|1|2
D010003	1
D015207	1
D020370	1
D055013	1
D018215	3|2
D015831	3|2
D018216	3
D010016	3|2
D010017	3|2
D054850	3|2
D010024	2|3|1
D015663	3|1|2
D012516	3|1|2
D018217	3|1|2
D010039	3|1|2
D010051	3|1|2
D018384	1
D047495	3|2
D051059	2|3
D056267	3|2
D010157	3|1|2
D053860	3|2
D010190	3|1|2
D019283	3|2
D050500	3|2
D018308	3|2
D050725	3|2
D030361	3|2
D053918	3|2
D010254	3|2
D010255	3|1|2
D020362	3|1|2
D009384	3|1|2
D020364	3|1|2
D010257	3|1|2
D020361	3|1|2
D044162	3|2
D010282	3|1|2
D010300	3|1|2
D010301	3|1|2
D010302	3|1|2
D020734	3|1|2
D010307	3|1|2
D051419	3
D010386	3|1|2
D010412	3|1|2
D015649	2|3
D010489	1
D047648	3|1|2
D054238	1
D010524	3|1|2
D010534	3|1|2
D054973	1
D044903	1
D010610	3|1|2
D010673	3|2
D015240	3|2
D019000	3
D003557	3|1|2
D010844	3|2
D020774	3
D010889	3
D010891	3|2
D010911	1
D036741	1
D010941	1
D058225	1
D058629	1
D010997	3|1|2
D011111	3|1|2
D011141	3|2
D032104	3
D011160	3|2
D057091	3|2
D017698	3|1|2
D031261	1
D011230	3|1
D015452	3|1|2
D054198	3|1|2
